,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
Q11P,-0.14564401572454666,-0.0009206856737352789,-0.0202659391380088,0.005990444440892056,0.06874628205305801
Q12P,0.06268491615901323,-0.18266795325480764,0.11311807140902326,-0.19914295087501593,-0.047125261243081
Q149,-0.021254383946316756,-0.05262717467089762,-0.1109448098946795,0.2672144930117499,0.10263795575236226
Q150,0.21158158406666366,-0.003640013413722114,-0.09150031076179183,0.2371297064837989,0.016977721907463276
Q151P,0.31552345149351274,0.0644730311669976,-0.030294920880131578,0.2841591095562423,-0.022189921103834064
Q15P,0.28804929899738074,-0.18977555079961422,0.14554608563685734,0.45140621509593326,-0.051072776673934256
Q165P,0.6508511981778975,-0.15497307723222917,0.02051371716343506,0.03536103356643667,-0.02439595496559466
Q166P,0.45662853025919947,-0.09446501707602868,-0.0250270736816327,0.14694891728195575,-0.09903865648461864
Q16P,-0.1047409923063371,-0.1407110866416691,0.04842047607464914,-0.01408444394278133,0.10333068459762837
Q17P,0.30157420204220026,-0.3049312394746419,0.0068170440956799435,0.10475444700555825,0.11235695226608389
Q19P,-0.05981283741594854,0.06561441259014442,0.054910909612267585,0.12484314707070177,0.788271586616609
Q20P,-0.10937081499476001,0.32190234840516585,0.007177949788245201,0.47421311855421816,0.26797680514048366
Q21P,-0.053870319249586476,0.03933972009755381,0.0030453721343599092,0.16564559831885603,0.7242612144359439
Q22P,0.04161794274800861,0.08333559872018691,0.17041681662148017,0.632637333601437,0.16547176879348605
Q23P,0.006551481108113419,0.1444255212057092,0.024253944549205625,0.1674299665930951,0.6202029215110567
Q25P,-0.06004212440929056,0.008312236096101499,0.22637034778559922,0.6182010687384186,0.4020821734904018
Q26P,-0.022930797620379972,0.06539342492838195,0.09833464245561123,0.15867003100656957,0.7592763927331851
Q57P,-0.4095819791514833,0.2066038494059282,0.1686412952427709,-0.09861330157336397,-0.08655028899019808
Q8P,-0.31609395105921273,0.2122611258647181,-0.04350579250354212,-0.0937390868842315,-0.041364784468198856
Q9P,0.030631854131506472,0.1870781873657562,0.04389077198434219,0.13023592427005548,-0.09382593443733094
Q106,0.2625916265621472,0.2034774962054137,0.13157123337735246,0.0536836039057308,-0.043225270858046456
Q107,0.23761953969686753,0.11870285250242209,-0.009443385263828645,0.1381994750439372,-0.07959615475420145
Q108,0.10655458612255454,0.20682211905589484,-0.3189630572313073,-0.3011802657619071,0.009588028656133278
Q109,0.022250584380831495,0.006075225398011374,-0.5101281542095196,-0.18114900341410917,-0.027839550024702932
Q110,-0.18050163094258417,-0.008383015195482077,-0.369646848059272,-0.16389705880404248,-0.03945134815253373
Q111,-0.03583914309732714,-0.17856713726371815,-0.03329223625485666,0.3511489077479059,-0.13676948287937352
Q112,0.480923019124214,-0.4803940307942498,0.08016208521646014,0.1048265206649062,-0.04877575024490262
Q121,0.034832617355360265,0.3814883733297542,0.04478026139149182,-0.42595792516796416,-0.18743639553007835
Q123,-0.18876873548816037,0.1405460577383454,0.3030040264002221,-0.1341055060727919,-0.05121624384568579
Q124,-0.04715890161146862,-0.28858238329239777,-0.010582443294605302,0.2301870642646826,0.02641554390049595
Q130P,0.078791625830808,0.0985985178257349,0.1017674782815095,-0.33606144585303577,-0.05689156962005295
Q160,0.405993385137313,-0.07995906127034559,-0.1377239437832634,-0.14068806500960765,0.08611517464392487
Q162,0.06904263841238305,-0.11305503528053094,-0.42666695085070394,-0.08129127529676519,0.1250707101665939
Q163,-0.03237317863730693,0.3534876574849142,0.2670034046004055,0.0746685907942117,-0.09196594685272227
Q164,0.8154259859195416,-0.16726858899285368,0.02682242597724912,0.19090286914707139,0.001414754769934033
Q169P,0.4236274827372156,-0.10487146555928338,0.09013031315881724,0.5874513275343444,-0.014364731951726719
Q170P,0.26781731653858015,-0.01503683618056916,0.020657167346575057,0.6840619252011066,0.04109935996716861
Q171P,0.6595628544900793,-0.054313397374794854,-0.02159484166877538,0.12365982702855005,-0.040412639761085334
Q172P,0.7458503948033101,-0.12125333766308179,0.04731368565121412,0.2617480341785895,-0.0353639657117263
Q173P,0.6766490134646268,-0.17263375223143224,0.11270587081731154,0.07774600504620069,0.039959297452720324
Q176P,-0.009208701314181323,-0.12343782625019627,0.10368320840678168,0.18108820782043195,-0.0053312123934215845
Q180,-0.22285768551761956,0.08476147879423661,-0.5202848684336547,0.06362345288389627,-0.025779774099446692
Q182,-0.430503685407958,-0.006314485702861126,0.04056758071508689,-0.5711527311859216,0.041717504887376806
Q184,-0.6444627163875735,0.013532250730417045,0.02775698131570062,-0.3112391554424912,0.03902414658479884
Q185,-0.4799572741762317,-0.2450193424960188,0.06847076792485568,-0.407802640824447,0.03084993435441055
Q186,-0.46018947153027634,-0.05646059738943944,0.002536643651972694,-0.5850667596298187,0.01722647203407411
Q188,-0.619866852452168,0.07487422773889217,-0.03851832955109347,-0.3480239186876712,0.0459490918842974
Q189,-0.1477579671733733,0.07599443709471765,-0.389945091553553,0.19091461352898442,0.016231254232439412
Q190,0.042671893910377484,0.014158567006807083,-0.2582247688859579,0.17948351767868045,0.09940515464831466
Q195,-0.5402421463398749,-0.12427831417745802,-0.12560006745130073,0.36647939560221743,0.038464898761218155
Q197P,-0.0029862955960716425,0.3262494008055392,-0.008488806382882255,0.5342214185509757,-0.028344523251633988
Q199P,-0.09516746513133668,0.3936929257709613,0.18713977148946895,0.00982638989553908,0.07403991905053098
Q234P,0.46821692412446003,-0.0742797281449199,0.3629395893718313,-0.1745912326200766,0.0428717921141131
Q235P,0.3697244232189743,0.13381945949747523,-0.41476248602327714,0.053491987973694845,0.07660864201931886
Q236P,0.3064467383173735,-0.00841123620479516,-0.132154715891999,-0.08272439562872562,0.1134505095168907
Q237P,0.06078660653297497,0.14395367749073318,-0.2718150144678823,0.519855399454977,0.034227956962836065
Q238P,0.2653661353307837,0.07156378630340457,0.5114297824470051,-0.251720305738479,0.09485122390753352
Q239P,0.30381976796736215,0.13218445966912315,-0.2903224227581102,0.4337007926787601,-0.00956567560096535
Q241,-0.1117314158016962,0.08421592583391896,0.4009428105687579,0.423913830630733,0.08155040272465161
Q242,0.31020922580826327,0.07724705813884791,-0.24174978171791045,0.4323849238665129,-0.018764826312756718
Q243,-0.018115161412371156,-0.09518096476873326,0.7236309183617424,-0.04937478703608035,0.09072619234181903
Q245,0.2377713791656468,0.13985408706513444,-0.24752206135079743,0.36241399698224636,-0.09474660322740558
Q246,-0.08511858611492515,0.09779199680898343,0.6983387202801764,0.05172581013129932,0.02377139888330927
Q248,0.30170492810514155,0.15363619372669476,0.20773807094430774,0.40873109458036544,0.04566877247914271
Q249,0.005307576968303984,0.1042764446303487,0.5542836669398866,-0.3147585033907936,0.1445811051141032
Q250,0.3307911640834119,0.08958855056967364,0.5975303167472192,-0.1747200769159522,0.10440106843720448
Q254P,0.5786865972872837,0.09968194004996646,0.22964005843892105,-0.09257789976929365,0.10278809222419594
Q255P,0.2937658537645476,-0.03143864107878715,0.17974535681361872,0.27673689014959046,-0.059651549877915176
Q259P,0.15763424509192853,-0.0650562613118772,0.19239201287117363,0.1731296965374371,-0.27536403879675775
Q27P,0.4874017872191923,-0.017166574521770922,0.10824202528177104,0.35682046981955184,-0.010823775789769549
Q28P,0.09653749455964647,-0.09031149833148526,-0.029603115872233077,0.4720337038205083,0.022149692565694695
Q29P,0.032549353221283724,0.16319868861248865,-0.06895698424248585,0.6949171054133297,-0.05702572906770141
Q2P,-0.15697637541622358,0.0682406626992275,0.20910085603047818,0.0032270926021356313,-0.07162617596280248
Q30P,0.18950796005616302,0.3160135687826971,-0.28840861784720506,0.2950827217365245,-0.045086588776384905
Q32P,-0.020250399864165575,0.04526219391309384,0.05963757305715293,0.18675373717041996,0.09149325805165726
Q33P,0.07414219486678747,0.13275369077219862,-0.06067703707269086,0.7731444699791317,-0.0017441913612274
Q34P,0.11624461581038521,-0.08668769603511893,-0.042455621356313526,0.6678237994279778,-0.004071475201600382
Q35P,0.2916251656850617,0.03462526394271334,-0.10830369965053534,0.4367114487065912,0.020859113319013592
Q37P,0.24819760659499715,0.2001557079943801,-0.06094200759318132,0.6217396668887816,-0.02575711191982158
Q38P,0.3032860739891798,0.07889961541091964,0.03296173063309498,0.5912694001533251,-0.06267692311781674
Q39P,0.24937778009309813,-0.003687276434189063,0.11485723458789175,0.4732122143642541,0.010818033764997083
Q3P,0.08321471939838658,-0.13451291924181744,0.03987541452826687,-0.29911811367754526,0.002942266188784925
Q41P,0.3839257609085306,0.043358205967506655,0.008165348593202289,0.5000567754185995,-0.0035186961132221074
Q42,0.06812356268356047,0.04860792838361859,0.1034789028450914,0.013959265862387422,0.0906948755982561
Q4P,-0.03320530802220725,0.38720691674081953,0.043395308217887806,-0.00853744470944269,0.032477397308272565
Q5P,0.5173797481179967,-0.04283109373204002,0.09039489780147393,0.0645254431922445,0.01028656371121713
Q64P,0.6320278683820514,0.25818266680499813,0.011248677643598711,0.1550034661304038,0.005679533019978555
Q66P,0.04664977835985294,0.6761470512784727,-0.10537629179421415,0.04608942981756311,0.03539434645444395
Q68P,-0.08666668847577562,0.6329898973121794,-0.001134743135315117,0.1170470875491212,0.0557663908526331
Q69P,-0.3344363645255008,0.37565609846847714,0.1740381180805037,0.18431470825818755,0.07221304129795995
Q6P,0.7191349737639976,-0.07111058362734728,0.047636275324508294,0.3180191104092888,-0.011956100037152714
Q70P,-0.2682824400464338,0.5408001973852948,0.17408501627145748,0.18993381097557485,0.03572225112010847
Q71P,-0.053772808607327145,0.7449274838257213,-0.007379956473257188,0.16885734244486647,0.08635804074396831
Q72P,-0.13400435949526784,0.7950401159941454,-0.13037916022532794,-0.03214245153701677,0.1911234051347651
Q73P,-0.0461179625890527,0.830113585237089,-0.06003302476939384,-0.053324734266008825,0.17168166641041635
Q77P,0.06086259360335067,0.6219274679547871,-0.0267712419601425,0.0027215126568576314,0.01226836230559824
Q90,0.2968477443971916,0.16303094827216985,-0.04432869000596663,-0.21600117836334237,0.2834887854497302
